id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
tm1492169,Queer,2024,movie,3,true,false,false,false,Acorn TV|Cinemax|Max,BUY|CINEMA|FLATRATE|RENT
tm1354845,How to Date Billy Walsh,2024,movie,1,true,true,false,false,Amazon Prime Video,FLATRATE
tm1471350,Grand Tour,2024,movie,1,true,true,false,false,MUBI,BUY|CINEMA|FLATRATE|RENT
tm1419516,Skywalkers: A Love Story,2024,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1334281,Reverse the Curse,2024,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|FREE|RENT
tm1285734,Sometimes I Think About Dying,2024,movie,1,true,true,false,false,MUBI,BUY|FLATRATE|FREE|RENT
tm1432754,Dreams,2024,movie,1,true,true,false,false,Criterion Channel,BUY|FLATRATE|RENT
ts390593,Maxton Hall – The World Between Us,2024,show,1,true,true,false,false,Amazon Prime Video,ADS|FLATRATE
ts405477,Like Water for Chocolate,2024,show,1,true,true,false,false,Max,BUY|FLATRATE
ts381452,Love Is Blind: UK,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts445732,Affair,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts416854,The Art of Joy,2024,show,0,false,false,false,false,,
ts435901,The Boyfriend,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts374719,Love Is Blind: Sweden,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts390144,Hairaki,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts383340,Inganno,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts440678,Son-hae Bo-gi Silh-eo-seo,2024,show,1,true,true,false,false,Amazon Prime Video,FLATRATE
ts391890,Hwain Gamunui Seukaendeul,2024,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts433753,RU,2024,show,0,false,false,false,false,,
ts385073,Máxima,2024,show,0,false,false,false,false,,
ts367274,Belgravia: The Next Chapter,2024,show,1,true,true,false,false,MGM+,BUY|FLATRATE
ts387708,Desperate Lies,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts415091,Love Next Door,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts407032,STHLM Blackout,2024,show,1,true,true,false,false,Amazon Prime Video,FLATRATE
ts355061,Truelove,2024,show,1,true,true,false,false,Acorn TV,FLATRATE
ts398372,Mr. Plankton,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts458737,Nevertheless: The Shapes of Love,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts455474,The Road Trip,2024,show,0,false,false,false,false,,ADS
ts306412,Heeramandi: The Diamond Bazaar,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts393560,Zai Bao Xue Shi Fen,2024,show,2,true,false,false,false,Netflix|Rakuten Viki,ADS|BUY|FLATRATE
ts406316,Alya Sometimes Hides Her Feelings in Russian,2024,show,1,true,true,false,false,Crunchyroll,BUY|FLATRATE
